
NULL
PP
Peta Mangrove Nasional
Peta Rawan Kebakaran Hutan
Pemutakhiran wilayah peta hidrogeologi secara Nasional setiap tahun (tidak ada perubahan informasi/data statis)
Cekungan Air Tanah
ZKGT
Peta Rawan Erosi
Lokasi Pelabuhan
SK Hutan Adat
Kantah
Batas Desa dan Kelurahan
Km
Kesatuan Hidrologis Gambut di 19 Provinsi
KRB Tsunami
PSN
"Tersus, TUKS"
WPPNRI
SK
Kawasan Industri Eksisting
SK Kawasan Hutan
Stasiun dan Jaringan Rel
Titik
KRB Gunung Api
Perda
Ha
Segmen Batas Daerah
Termutakhirkannya peta perizinan berusaha di bidang pertambangan secara Nasional
SK Menteri ESDM
Bandar Udara
Alur Pelayaran
Wilayah Sungai
KKOP
Pulau
Sabo DAM
TWA
"Danau, Situ, dan Embung"
Lembar Peta Geologi
Surat Kesepakatan
Fungsi Ekosistem Gambut di 19 Provinsi
SK Peta Indikatif
Pulau Sulawesi
Panjang (km)
Nasional
Bidang
Pelabuhan
Kawasan Transmigrasi
Peta Lahan Kritis
Bendungan
Peta DAS
Provinsi Lokasi Transmigrasi
Area
Provinsi
Peta Nasional
Jalur Pipa Gas Bumi secara Nasional
BWS
Kabupaten/Kota
Termutakhirkannya peta wilayah kerja migas secara nasional
KRB
Kompilasi Perkada
SK Penetapan Kawasan Hutan
Wilayah
Area KBAK
Lokasi
Layer Lahan
Titik IPAL dan IPLT
Peta
SK DDDT Air Nasional skala 1:250:000
Dokumen/Pilot Project
Unit PBPH
Segmen Jaringan
Nota Dinas

