1,"0","Walidata IGT"
2,"010","Kementerian Dalam Negeri (Kemendagri)"
3,"011","Kementerian Luar Negeri (Kemenlu)"
4,"012","Kementerian Pertahanan (Kemenhan)"
5,"015","Kementerian Keuangan (Kemenkeu)"
6,"018","Kementerian Pertanian (Kementan)"
7,"019","Kementerian Perindustrian (Kemenperin)"
8,"020","Kementerian Energi Sumber Daya Mineral (Kementerian ESDM)"
9,"022","Kementerian Perhubungan (Kemenhub)"
10,"023","Kementerian Pendidikan dan Kebudayaan (Kemendikbud)"
11,"029","Kementerian Lingkungan Hidup dan Kehutanan (Kementerian LHK)"
12,"032","Kementerian Kelautan dan Perikanan (Kementerian KP)"
13,"033","Kementerian Pekerjaan Umum dan Perumahan Rakyat (Kementerian PUPR)"
14,"035","Kementerian Koordinator Bidang Perekonomian (Kemenko Perekonomian)"
15,"041","Kementerian BUMN"
16,"054","Badan Pusat Statistik (BPS)"
17,"055","Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional (Kementerian PPN/Bappenas)"
18,"056","Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (Kementerian ATR/BPN)"
19,"059","Kementerian Komunikasi dan Informasi (Kemenkominfo)"
20,"060","Kepolisian Negara Republik Indonesia (POLRI)"
21,"067","Kementerian Desa Pembangunan Daerah Tertinggal dan Transmigrasi (Kemendes PDTT)"
22,"075","Badan Meteorologi Klimatologi dan Geofisika (BMKG)"
23,"079","Badan Riset dan Inovasi Nasional (BRIN)"
24,"082","Lembaga Penerbangan dan Antariksa Nasional (LAPAN)"
25,"083","Badan Informasi Geospasial (BIG)"
26,"090","Kementerian Perdagangan (Kemendag)"
27,"114","Sekretariat Kabinet"
28,"0","Satuan Gugus Tugas"
29,"0","Kementerian dan Lembaga Terkait"
30,"0","Kementerian Koordinator Bidang Kemaritiman dan Investasi (Kemenko Marves)"
31,"0","Kantor Staf Presiden (KSP)"
32,"0","Pushidros TNI-AL"
33,"0","Pemerintah Provinsi (Pemprov)"
34,"0","Pemerintah Kabupaten/Kota (Pemkab/kota)"
35,"0","Tentara Nasional Indonesia (TNI)"
36,"0","Direktorat Topografi TNI-AD"
37,"0","Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf)"
38,"0","Kementerian Koperasi dan Usaha Kecil dan Menengah (Kemenkop UKM)"
39,"0","Badan Restorasi Gambut dan Mangrove (BRGM)"
40,"0","Badan Koordinasi Penanaman Modal (BKPM)"
41,"0","Badan Nasional Penanggulangan Bencana (BNPB)"
42,"0","Lembaga Ilmu Pengetahuan Indonesia (LIPI)"
43,"0","BI"
44,"0","Otoritas Jasa Keuangan (OJK)"
45,"0","Tentara Nasional Indonesia Angkatan Udara (TNI-AU)"
46,"0","Kementerian Koordinator Bidang Politik Hukum dan Keamanan (Kemenko Polhukam)"
47,"0","Kementerian Sekretariat Negara (Kemensetneg)"
48,"0","BIN"
49,"0","Kementerian Hukum dan Hak Asasi Manusia"
50,"0","Komisi Pemberantasan Korupsi (KPK)"
51,"0","Kementerian Kesehatan (Kemenkes)"
52,"0","Kementerian Koordinator Pertahanan dan Keamanan"
53,"0","Badan Tenaga Nuklir"
54,"0","Badan Pengawas Tenaga Nuklir"
55,"0","Badan Sandi dan Siber Negara"
56,"0","Badan Keamanan Laut"
57,"0","Badan Pengkajian dan Penerapan Teknologi"
58,"0","Kementerian Koordinator Bidang Politik Hukum dan Keamaban (Kemenko Polhukam)"
59,"0","Kementerian / Lembaga terkait"
60,"0","Badan Standardisasi Nasional"
