Satuan
Alur Pelayaran
Area
Area KBAK
Bandar Udara
Batas Desa dan Kelurahan
Bendungan
Bidang
BWS
BWS dan BBWS
CAT
Danau, Situ, Embung
Ha
K/L dan Pilot Project
Kabupaten/Kota
Kawasan
Kawasan Transmigrasi
Kepmenhan
KRB
Lahan Pemerintah Daerah
Lahan Swasta
Lahan UPT Ditjen Peternakan
Lokasi
Nasional
Nota Dinas
Panjang (Km)
Pelabuhan
Pelabuhan Penyebrangan
Perda
Perpres
Peta
PP
Provinsi
Pulau
Sabo Dam
Segmen
Segmen jaringan
SK
Spesifikasi Produk Data,Kamus Data, dan Metadata
Stasiun Kereta Api dan Jaringan Rel
Surat Kesepakatan / Perjanjian Internasional
Tersus dan TUKS
Titik
Titik Lokasi
Titik SPAM
Titik Terminal
Titik TPA
TWA
Unit PBPH
Wilayah Jawa dan Sumatera
Wilayah Sulawesi
Wilayah Sumatera
Wilayah Sungai
WPPNRI
ZKGT
