35,12
45,77
27,3
27,19
27,21
27,22
27,23
27,43
27,44
27,45
27,86
27,109
27,174
27,176
27,186
27,190
32,8
32,9
32,10
32,19
32,21
32,22
32,23
32,43
32,44
32,45
32,54
32,55
32,56
32,57
32,74
32,75
32,76
32,96
32,102
32,121
32,122
32,123
32,141
33,11
33,15
33,16
33,17
33,18
33,19
33,20
33,24
33,25
33,30
33,31
33,32
33,35
33,36
33,37
33,39
33,40
33,41
33,42
33,46
33,47
33,49
33,50
33,51
33,56
33,58
33,62
33,63
33,64
33,66
33,67
33,68
33,69
33,71
33,72
33,73
33,76
33,78
33,79
33,80
33,81
33,82
33,83
33,85
33,87
33,88
33,89
33,90
33,91
33,92
33,93
33,94
33,95
33,96
33,97
33,98
33,99
33,100
33,101
33,103
33,104
33,105
33,106
33,107
33,108
33,109
33,110
33,111
33,112
33,113
33,114
33,115
33,116
33,117
33,118
33,119
33,120
33,122
33,123
33,124
33,126
33,127
33,128
33,129
33,130
33,131
33,132
33,133
33,134
33,135
33,136
33,137
33,138
33,139
33,140
33,142
33,143
33,144
33,145
33,146
33,147
33,148
33,149
33,150
33,151
33,152
33,153
33,154
33,155
33,156
33,157
33,158
33,159
33,160
33,161
33,162
33,163
33,164
33,167
33,170
33,173
33,174
33,175
33,176
33,177
33,178
33,179
33,180
33,181
33,182
33,183
33,184
33,185
33,187
33,188
33,189
34,11
34,15
34,16
34,17
34,18
34,20
34,24
34,25
34,30
34,31
34,32
34,35
34,36
34,37
34,39
34,40
34,41
34,42
34,46
34,47
34,49
34,50
34,51
34,58
34,59
34,62
34,63
34,64
34,66
34,67
34,68
34,69
34,71
34,72
34,73
34,76
34,78
34,79
34,80
34,81
34,82
34,83
34,85
34,87
34,88
34,89
34,90
34,91
34,92
34,93
34,94
34,95
34,96
34,97
34,98
34,99
34,100
34,101
34,103
34,105
34,106
34,107
34,108
34,109
34,110
34,111
34,112
34,114
34,115
34,116
34,117
34,118
34,119
34,120
34,122
34,123
34,127
34,128
34,129
34,130
34,131
34,132
34,133
34,134
34,135
34,136
34,137
34,138
