
1,1,Penetapan Walidata IGT,1,Penetapan Walidata IGT pada Kementerian/ Lembaga,Keputusan Penetapan Walidata IGT,25,1
1,1,Penetapan Kelompok Kerja Nasional (POKJA) IGT,2,Penetapan POKJA IGT,Keputusan Penetapan POKJA IGT,25,1
1,1,Penyusunan Mekanisme dan Tata Kerja Kegiatan Kompilasi dan Integrasi Pelaksanaan Kebijakan Satu Peta,5,Penyusunan Mekanisme dan Tata Kerja Kegiatan Kompilasi dan Integrasi Pelaksanaan Kebijakan Satu Peta,Peraturan Kepala BIG tentang Mekanisme dan Tata Kerja Kegiatan Kompilasi dan Integrasi Pelaksanaan Kebijakan Satu Peta ,25,1
1,1,Penyusunan Mekanisme dan Tata Kerja Berbagi Pakai Data dan IG Kebijakan Satu Peta,7,Menyusun Mekanisme dan Tata Kerja Berbagi Pakai Data dan IG Kebijakan Satu Peta,Peraturan Kepala BIG tentang Mekanisme Tata Kerja dan Berbagi Pakai Data dan IG Kebijakan Satu Peta,25,1
1,1,Penetapan Mekanisme dan Tata Kerja Sekretariat Tim Percepatan Kebijakan Satu Peta,3,Penyusunan Mekanisme dan Tata Kerja Sekretariat Tim Percepatan Kebijakan Satu Peta,Peraturan mengenai Mekanisme dan Tata Kerja Sekretariat Tim PKSP,14,1
1,1,Penyusunan Mekanisme dan Tata Kerja Peta Batas Kecamatan dan Kelurahan ,6,Menyusun Mekanisme dan Tata Kerja Peta Batas Kecamatan dan Kelurahan,Peraturan Menteri Dalam Negeri,2,1
1,1,Penetapan Mekanisme dan Tata Kerja Pembuatan IGT,4,Penyusunan Mekanisme dan Tata Kerja pembuatan IGT,Mekanisme dan Tata Kerja pembuatan IGT,1,1
2,2,Perwujudan Peta Dasar,8,Mewujudkan tersedianya Peta Rupa Bumi Indonesia (RBI),Peta RBI skala 1:5.000,25,2
2,2,Perwujudan Peta Dasar,8,Mewujudkan tersedianya Peta Rupa Bumi Indonesia (RBI),Peta RBI skala 1:50.000,25,2
2,2,Perwujudan Peta Dasar,8,Mewujudkan tersedianya Peta Rupa Bumi Indonesia (RBI),Peta RBI skala 1:250.000,25,2
2,2,Perwujudan Peta Dasar,11,Penyediaan Data Penginderaan Jauh ,Tersedianya Data Penginderaan Jauh untuk Mendukung Penyediaan Peta RBI Skala 1:5.000,25,2
2,2,Perwujudan Peta Dasar,9,Penyediaan Citra Satelit Resolusi Sangat Tinggi Wilayah Indonesia (CSRST),Tersedianya Citra Satelit Resolusi Sangat Tinggi optis Resolusi minimal 50 cm,24,2
2,2,Perwujudan Peta Dasar,10,Penyediaan Foto Udara Resolusi Tinggi Wilayah Pulau Terluar,Tersedianya Foto Udara Resolusi Tinggi,4,2
3,3,Pemutakhiran Peta Dasar,12,Memutakhirkan Peta RBI,Peta RBI skala 1:50.000,25,3
4,8,Perwujudan IGT Potensi,29,Mewujudkan IGT Transportasi dan Logistik,Peta Lokasi Kegiatan Logistik dan Pergudangan skala 1:50.000,26,8
4,8,Perwujudan IGT Potensi,32,Mewujudkan IGT Fasos Fasum dan Utilitas,Peta Sebaran Pasar Rakyat dan Pasar Desa skala 1:50.000 – 1:5.000,26,8
4,8,Perwujudan IGT Potensi,32,Mewujudkan IGT Fasos Fasum dan Utilitas,"Peta Sebaran Pasar Induk, Terminal Agribisnis, Pasar Komoditi dan Pusat Distribusi Regional skala 1:50.000 -1:5.000",26,8
4,8,Perwujudan IGT Potensi,22,Mewujudkan IGT Sumber Daya dan Lingkungan,Peta Rawan Banjir skala 1:50.000,25,8
4,8,Perwujudan IGT Potensi,22,Mewujudkan IGT Sumber Daya dan Lingkungan,Peta Terumbu Karang skala 1:50.000,23,8
4,8,Perwujudan IGT Potensi,22,Mewujudkan IGT Sumber Daya dan Lingkungan,Peta Seismisitas Gempa Bumi skala 1:50.000 - 1:25.000,22,8
4,8,Perwujudan IGT Potensi,32,Mewujudkan IGT Fasos Fasum dan Utilitas,Peta Sebaran Objek Vital Nasional skala 1:50.000,20,8
4,8,Perwujudan IGT Status,13,Mewujudkan IGT Perizinan Lokasi dan Kesesuaian Kegiatan Pemanfaatan Ruang,Peta Penetapan Lokasi Pengadaan Tanah bagi Kepentingan Umum Skala 1:50.000,18,8
4,8,Perwujudan IGT Status,14,Mewujudkan IGT Pertanahan,Peta Zona Nilai Tanah minimal skala 1: 10.000,18,8
4,8,Perwujudan IGT Status,14,Mewujudkan IGT Pertanahan,Peta Penguasaan dan Kepemilikan Tanah (Hak Milik) skala 1:5.000,18,8
4,8,Perwujudan IGT Perencanaan Ruang,26,Mewujudkan IGT Perencanaan Ruang,Peta Recana Tata Ruang Pulau/Kepulauan skala 1:500.000,18,8
4,8,Perwujudan IGT Perencanaan Ruang,26,Mewujudkan IGT Perencanaan Ruang,Peta Rencana Detail Tata Ruang (RDTR) skala 1:50.000,18,8
4,8,Perwujudan IGT Potensi,22,Mewujudkan IGT Sumber Daya dan Lingkungan,Peta Neraca Penatagunaan  Tanah skala 1: 50.000,18,8
4,8,Perwujudan IGT Potensi,28,Mewujudkan IGT Potensi Sumber Daya dan Lingkungan,Peta Lahan Sawah yang Dilindungi minimal skala 1:5.000,18,8
4,8,Perwujudan IGT Status,14,Mewujudkan IGT Pertanahan,"Peta Aset Tanah, Gedung dan Bangunan Milik BUMN minimal skala 1:50.000",15,8
4,8,Perwujudan IGT Potensi,29,Mewujudkan IGT Transportasi dan Logistik,Peta Kawasan Gudang BUMN skala 1:50.000,15,8
4,8,Perwujudan IGT Status,25,Mewujudkan IGT Proyek Strategis,Peta Proyek Strategis Nasional (PSN) skala 1:50.000,14,8
4,8,Perwujudan IGT Potensi,31,Mewujudkan IGT Fasilitas Sosial Fasilitas Umum (Fasos Fasum) dan Utilitas,Peta Sebaran Lokasi Akses Layanan Keuangan skala 1:50.000,14,8
4,8,Perwujudan IGT Potensi,32,Mewujudkan IGT Fasos Fasum dan Utilitas,Peta Daerah Irigasi Rawa skala 1:5.000,13,8
4,8,Perwujudan IGT Potensi,32,Mewujudkan IGT Fasos Fasum dan Utilitas,Peta Daerah Irigasi Tambak skala 1:5.000,13,8
